'accommodation',
'advertisement',
'approximately',
'communication',
'concentration',
'consideration',
'disappointing',
'entertainment',
'environmental',
'extraordinary',
'international',
'investigation',
'neighbourhood',
'old-fashioned',
'qualification',
'significantly',
'uncomfortable',
'understanding',
'unfortunately',
